customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure
4,Talbot,,Male,33,1961-10-03,,IT,Mass Customer,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,7.0
5,Sheila-kathryn,Calton,Female,56,1977-05-13,Senior Editor,,Affluent Customer,N,NIL,Yes,8.0
6,Curr,Duckhouse,Male,35,1966-09-16,,Retail,High Net Worth,N,ðµ ð ð ð,Yes,13.0
7,Fina,Merali,Female,6,1976-02-23,,Financial Services,Affluent Customer,N,â°â´âµâââ,Yes,11.0
8,Rod,Inder,Male,31,1962-03-30,Media Manager I,,Mass Customer,N,(â¯Â°â¡Â°ï¼â¯ï¸µ â»ââ»),No,7.0
11,Uriah,Bisatt,Male,99,1954-04-30,,Property,Mass Customer,N,ÅâÂ´Â®â Â¥Â¨ËÃ¸Ïââ,No,9.0
16,Harlin,Parr,Male,38,1977-02-27,Media Manager IV,,Mass Customer,N,1000000000000000049861653971908893017010268485438462151574892930611988399099305815384459015356416,Yes,18.0
17,Heath,Faraday,Male,57,1962-03-19,Sales Associate,,Affluent Customer,N,ï¾ï½¥â¿ã¾â²(ï½¡ââ¿âï½¡)â±â¿ï½¥ï¾,Yes,15.0
18,Marjie,Neasham,Female,79,1967-07-06,Professor,,Affluent Customer,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,11.0
22,Deeanne,Durtnell,Female,79,1962-12-10,,IT,Mass Customer,N,ï¼ï¼ï¼,No,11.0
23,Olav,Polak,Male,43,1995-02-10,,,High Net Worth,N,2018-02-01 00:00:00,Yes,1.0
30,Darrick,Helleckas,Male,18,1961-10-18,,IT,Affluent Customer,N,ì¬íê³¼íì ì´íì°êµ¬ì,Yes,6.0
33,Ernst,Hacon,Male,44,1957-06-25,Product Engineer,,Affluent Customer,N,<script>alert('hi')</script>,Yes,11.0
34,Jephthah,Bachmann,U,59,1843-12-21,Legal Assistant,IT,Affluent Customer,N,,No,20.0
