first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Rank,Value
Olag,,Male,60,1990-05-13,Human Resources Manager,Telecommunications,Mass Customer,N,No,9,0484 North Avenue,2032,NSW,Australia,11,0.43,0.43,0.5375,0.456875,13,13,1.609375
Dukie,Swire,Male,88,1954-03-31,,Manufacturing,Affluent Customer,N,Yes,5,64 Granby Parkway,2500,NSW,Australia,8,0.58,0.725,0.90625,0.90625,16,16,1.5625
Otis,Ottey,Male,26,1998-02-05,Quality Engineer,,Mass Customer,N,No,3,1562 Merchant Street,4744,QLD,Australia,4,1.02,1.02,1.02,0.867,23,23,1.5
Tabbatha,Averill,Female,5,1977-12-17,Quality Control Specialist,,Affluent Customer,N,Yes,13,663 8th Parkway,2257,NSW,Australia,8,0.72,0.8999999999999999,0.8999999999999999,0.8999999999999999,23,23,1.5
Rourke,Gillbard,Male,11,1945-08-03,,Property,Mass Customer,N,No,17,75 Cordelia Trail,4817,QLD,Australia,4,0.59,0.59,0.59,0.5015,26,26,1.46875
Rhona,De Freyne,Female,45,1960-11-22,,Health,High Net Worth,N,No,8,11184 East Drive,3056,VIC,Australia,10,0.73,0.73,0.9125,0.9125,30,30,1.4609375
Sharron,Claibourn,Female,62,1980-01-26,,Financial Services,High Net Worth,N,Yes,17,555 Hermina Avenue,2280,NSW,Australia,8,0.71,0.8875,0.8875,0.8875,30,30,1.4609375
Mikel,McNess,Male,71,1981-09-22,Nurse,,Mass Customer,N,No,9,3 Pleasure Drive,4122,QLD,Australia,9,0.7,0.7,0.875,0.74375,32,32,1.453125
Farlie,Petford,Male,76,1968-03-25,Recruiting Manager,,High Net Worth,N,No,13,2330 Butternut Trail,2017,NSW,Australia,10,0.86,0.86,1.075,1.075,36,36,1.44765625
Mitchell,MacCague,Male,58,1979-04-11,,Manufacturing,Mass Customer,N,No,15,240 Acker Avenue,3190,VIC,Australia,8,0.62,0.62,0.62,0.527,38,38,1.4375
Garik,Whitwell,Male,44,1955-06-13,,Property,Mass Customer,N,Yes,13,04 Dexter Way,3280,VIC,Australia,2,0.88,1.1,1.1,0.935,38,38,1.4375
Antonin,Britt,Male,64,1993-08-28,,Manufacturing,Affluent Customer,N,Yes,8,011 Northland Trail,2160,NSW,Australia,9,0.43,0.5375,0.671875,0.671875,40,40,1.434375
Vinny,Incogna,Female,73,1953-02-13,,Health,High Net Worth,N,No,10,8 Grayhawk Circle,2756,NSW,Australia,8,0.62,0.62,0.62,0.62,40,40,1.434375
Neile,Argent,Female,79,1946-10-25,,Retail,Mass Customer,N,No,8,2548 Arrowood Pass,2024,NSW,Australia,10,0.83,0.83,1.0375,0.8818749999999999,42,42,1.421875
Corinna,Suggey,Female,52,1966-09-18,Design Engineer,,Affluent Customer,N,No,9,938 Ilene Road,2761,NSW,Australia,8,0.89,0.89,0.89,0.89,44,44,1.42109375
Brooke,Arling,Male,76,1961-12-05,,,High Net Worth,N,No,6,6 Melby Center,3027,VIC,Australia,5,0.97,0.97,0.97,0.97,44,44,1.42109375
Jobina,Gobourn,Female,85,1994-12-04,VP Quality Control,,High Net Worth,N,Yes,14,18 Grim Road,4305,QLD,Australia,4,0.48,0.6,0.75,0.75,46,46,1.4078125
Heinrick,Shilstone,Male,60,1978-02-11,,Manufacturing,Affluent Customer,N,No,10,998 Gale Park,3174,VIC,Australia,8,0.43,0.43,0.43,0.43,50,50,1.40625
Odessa,Mc Andrew,Female,97,1981-12-01,,Property,Mass Customer,N,No,8,31756 Meadow Valley Lane,2232,NSW,Australia,10,0.62,0.62,0.775,0.65875,54,54,1.38125
Marylou,Kirkup,Female,51,1972-10-31,VP Product Management,,Mass Customer,N,No,14,76733 Sunbrook Terrace,3196,VIC,Australia,9,0.66,0.66,0.8250000000000001,0.70125,57,57,1.375
Whittaker,,Male,64,1966-07-29,Media Manager III,,Mass Customer,N,Yes,8,683 Florence Way,3156,VIC,Australia,5,0.98,1.225,1.225,1.04125,57,57,1.375
Normy,Goodinge,U,5,,Associate Professor,IT,Mass Customer,N,No,4,7232 Fulton Parkway,3810,VIC,Australia,5,0.78,0.78,0.78,0.663,57,57,1.375
Vivienne,Crayden,Female,82,1988-09-18,Associate Professor,,High Net Worth,N,Yes,6,69 Algoma Center,4173,QLD,Australia,7,1.01,1.2625,1.578125,1.578125,68,68,1.3546875
Yancy,Clementet,Male,5,1968-02-16,Mechanical Systems Engineer,,High Net Worth,N,No,15,9 Union Center,2147,NSW,Australia,9,0.5,0.5,0.625,0.625,72,72,1.35
Mabelle,Wellbelove,Female,76,1958-04-21,,Financial Services,Affluent Customer,N,Yes,19,800 Emmet Park,2219,NSW,Australia,9,0.85,1.0625,1.328125,1.328125,72,72,1.35
Esther,Rooson,Female,14,1981-02-22,,Financial Services,Mass Customer,N,No,5,5186 Main Trail,2046,NSW,Australia,9,0.62,0.62,0.775,0.65875,78,78,1.3375
Pietra,Buckleigh,Female,9,1949-04-29,Engineer III,,High Net Worth,N,No,13,387 Dixon Alley,2024,NSW,Australia,10,0.48,0.48,0.6,0.6,85,85,1.325
Kahaleel,,Male,5,1942-11-01,GIS Technical Architect,,High Net Worth,N,No,13,12 Arapahoe Park,2035,NSW,Australia,12,0.84,0.84,1.05,1.05,88,88,1.31484375
Ludovico,Juster,Male,93,1992-04-19,Environmental Specialist,,Affluent Customer,N,No,15,1 Talisman Avenue,2125,NSW,Australia,10,1.07,1.07,1.3375,1.3375,89,89,1.3125
Andromache,Bonafacino,Female,84,1977-09-01,,Retail,Mass Customer,N,No,11,74 Carpenter Street,2015,NSW,Australia,9,0.71,0.71,0.8875,0.7543749999999999,89,89,1.3125
Levy,Abramamov,Male,94,1952-09-21,Teacher,,Affluent Customer,N,Yes,14,6776 Anderson Center,4037,QLD,Australia,8,0.44,0.55,0.6875,0.6875,89,89,1.3125
Nobe,McAughtry,Male,25,1978-12-14,,,Mass Customer,N,No,12,1 Orin Hill,4510,QLD,Australia,5,0.75,0.75,0.75,0.6375,89,89,1.3125
Jehu,Prestedge,Male,91,1999-10-20,,Manufacturing,High Net Worth,N,Yes,8,88 Annamark Avenue,2138,NSW,Australia,12,0.53,0.6625000000000001,0.8281250000000001,0.8281250000000001,96,96,1.3
Aridatha,Sephton,Female,95,1961-10-22,Human Resources Assistant II,,Mass Customer,N,No,5,422 Forster Circle,2340,NSW,Australia,1,0.93,0.93,1.1625,0.988125,104,104,1.2875
Michal,Bryan,Female,1,1969-11-09,,Manufacturing,Mass Customer,N,Yes,16,4275 Bluestem Pass,4000,QLD,Australia,8,0.56,0.7000000000000001,0.7000000000000001,0.5950000000000001,104,104,1.2875
David,Napoleon,Male,72,1961-11-05,Structural Engineer,,High Net Worth,N,No,14,69 Garrison Point,2223,NSW,Australia,11,1.06,1.06,1.325,1.325,111,111,1.28125
Frederik,Milan,Male,45,1997-11-13,,Health,Mass Customer,N,No,5,56 Riverside Street,2546,NSW,Australia,5,0.62,0.62,0.62,0.527,114,114,1.275
Alexander,Broadbent,Male,57,1997-05-28,Desktop Support Technician,,Mass Customer,N,No,9,265 Stephen Trail,2209,NSW,Australia,10,1.0,1.0,1.25,1.0625,120,120,1.2625
Teddy,Lagadu,Female,86,1969-07-20,Design Engineer,,High Net Worth,N,No,6,2 Charing Cross Trail,2759,NSW,Australia,8,0.6,0.6,0.75,0.75,120,120,1.2625
Ludvig,Andren,Male,44,1941-02-22,Media Manager III,,High Net Worth,N,Yes,15,578 Waywood Circle,4306,QLD,Australia,5,0.65,0.8125,0.8125,0.8125,125,125,1.26171875
Elsworth,Abbitt,Male,71,1956-02-08,,Health,Mass Customer,N,Yes,6,9722 Northport Way,3500,VIC,Australia,3,0.73,0.9125,0.9125,0.775625,125,125,1.26171875
Farris,Skettles,Male,38,1965-07-03,Payment Adjustment Coordinator,,Mass Customer,N,Yes,13,49309 Redwing Lane,3240,VIC,Australia,7,1.05,1.3125,1.3125,1.115625,132,132,1.2484375
Sharline,Abyss,Female,11,1960-03-18,,,Mass Customer,N,Yes,15,367 Bay Point,4011,QLD,Australia,4,0.5,0.625,0.625,0.53125,133,133,1.2375
Nowell,Preddy,Male,29,1985-07-23,,Manufacturing,Mass Customer,N,No,9,932 Glendale Avenue,2173,NSW,Australia,9,0.45,0.45,0.5625,0.478125,133,133,1.2375
Padraig,Snel,Male,89,1970-11-08,Staff Accountant II,,Mass Customer,N,No,19,12683 Mifflin Point,2114,NSW,Australia,7,0.95,0.95,1.1875,1.009375,133,133,1.2375
Bernardine,Delmonti,Female,39,1971-03-31,,Property,Mass Customer,N,No,17,0721 Meadow Ridge Pass,2540,NSW,Australia,8,0.53,0.53,0.53,0.4505,146,146,1.225
Bill,,Female,74,1963-04-24,Human Resources Assistant II,Property,Mass Customer,N,Yes,19,6704 Pine View Lane,2170,NSW,Australia,9,0.86,1.075,1.34375,1.1421875,155,155,1.2
Tedra,Goodbanne,Female,4,1978-01-15,Senior Quality Engineer,,Mass Customer,N,Yes,6,8 Debs Road,3934,VIC,Australia,9,0.55,0.6875,0.859375,0.73046875,158,158,1.1875
